,name,symbol,country,has_intraday,has_eod,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
86,Apple Inc,AAPL,,False,True,180.07,180.3,177.34,179.36,58953100.0,180.0681525932,177.1119588513,179.124,179.8384483498,58953052.0,1.0,0.0,AAPL,XNAS,2023-09-11
87,Apple Inc,AAPL,,False,True,178.35,180.24,177.79,178.18,65551300.0,180.007231033,177.5613801972,177.9456,178.1206600943,65602066.0,1.0,0.0,AAPL,XNAS,2023-09-08
88,Apple Inc,AAPL,,False,True,175.18,178.21,173.54,177.56,112488800.0,177.98084012,173.3168452636,177.3264,174.9547363909,112488803.0,1.0,0.0,AAPL,XNAS,2023-09-07
89,Apple Inc,AAPL,,False,True,188.4,188.85,181.47,182.91,81755800.0,188.6071581655,181.2366480926,182.6693,188.1577368195,81755816.0,1.0,0.0,AAPL,XNAS,2023-09-06
90,Apple Inc,AAPL,,False,True,188.28,189.98,187.61,189.7,45280000.0,189.7357051007,187.368752679,189.4504,188.0378911273,45280027.0,1.0,0.0,AAPL,XNAS,2023-09-05
91,Apple Inc,AAPL,,False,True,189.49,189.92,188.28,189.46,45732600.0,189.6757822546,188.0378911273,189.2107,189.2413416202,45766503.0,1.0,0.0,AAPL,XNAS,2023-09-01
92,Apple Inc,AAPL,,False,True,187.84,189.12,187.48,187.87,60794500.0,188.876810973,187.2389198457,187.6228,187.5984569224,60794467.0,1.0,0.0,AAPL,XNAS,2023-08-31
93,Apple Inc,AAPL,,False,True,184.94,187.85,184.74,187.65,60813900.0,187.6084440634,184.5024432062,187.4031,184.7021860266,60813888.0,1.0,0.0,AAPL,XNAS,2023-08-30
94,Apple Inc,AAPL,,False,True,179.7,184.9,179.5,184.12,53003900.0,184.6622374625,179.2691813116,183.8778,179.4639305615,53003948.0,1.0,0.0,AAPL,XNAS,2023-08-29
95,Apple Inc,AAPL,,False,True,180.09,180.59,178.55,180.19,43820700.0,180.3577796828,178.3154093442,179.9529,179.8584226318,43820697.0,1.0,0.0,AAPL,XNAS,2023-08-28
96,Apple Inc,AAPL,,False,True,177.38,179.15,175.82,178.61,51449600.0,178.9196313759,175.5939134162,178.375,177.1519074153,51449594.0,1.0,0.0,AAPL,XNAS,2023-08-25
97,Apple Inc,AAPL,,False,True,180.67,181.1,176.01,176.38,54945800.0,180.8711187312,175.7836690956,176.1479,180.4416716674,54945798.0,1.0,0.0,AAPL,XNAS,2023-08-24
98,Apple Inc,AAPL,,False,True,178.52,181.55,178.33,181.12,52722800.0,181.3165452207,178.0956922417,180.8817,178.2904414916,52722752.0,1.0,0.0,AAPL,XNAS,2023-08-23
99,Apple Inc,AAPL,,False,True,177.06,177.68,176.25,177.23,42084200.0,177.4515216459,176.0233604801,176.9968,176.8323189027,42084245.0,1.0,0.0,AAPL,XNAS,2023-08-22
