,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
220,177.38,179.15,175.82,178.61,51449600.0,178.9196313759,175.5939134162,178.375,177.1519074153,51449594.0,1.0,0.0,AAPL,XNAS,2023-08-25
221,321.47,325.36,318.8001,322.98,21684100.0,324.7012342746,318.1546162923,322.3258,320.8191104692,21684104.0,1.0,0.0,MSFT,XNAS,2023-08-25
222,180.67,181.1,176.01,176.38,54945800.0,180.8711187312,175.7836690956,176.1479,180.4416716674,54945798.0,1.0,0.0,AAPL,XNAS,2023-08-24
223,332.85,332.98,319.96,319.97,23281430.0,332.305805842,319.3121678095,319.3219,332.1760690567,23281434.0,1.0,0.0,MSFT,XNAS,2023-08-24
224,178.52,181.55,178.33,181.12,52722800.0,181.3165452207,178.0956922417,180.8817,178.2904414916,52722752.0,1.0,0.0,AAPL,XNAS,2023-08-23
225,323.82,329.2,323.46,327.0,21166381.0,328.5334593165,322.8050812591,326.3376,323.1643523568,21166382.0,1.0,0.0,MSFT,XNAS,2023-08-23
226,177.06,177.68,176.25,177.23,42084200.0,177.4515216459,176.0233604801,176.9968,176.8323189027,42084245.0,1.0,0.0,AAPL,XNAS,2023-08-22
227,325.5,326.075,321.46,322.46,16102020.0,325.4147865936,320.8091307165,321.8068,324.8409508126,16102024.0,1.0,0.0,MSFT,XNAS,2023-08-22
228,175.07,176.13,173.74,175.84,46311900.0,175.9035147878,173.5115945135,175.6086,174.8448778397,46311879.0,1.0,0.0,AAPL,XNAS,2023-08-21
229,317.93,322.77,317.04,321.88,24039961.0,322.1164783219,316.3980800173,321.228,317.2862780087,24039956.0,1.0,0.0,MSFT,XNAS,2023-08-21
230,172.3,175.1,171.96,174.49,61114200.0,174.8748392628,171.7388769824,174.2604,172.0784397771,61172150.0,1.0,0.0,AAPL,XNAS,2023-08-18
231,314.49,318.38,311.5508,316.48,24755010.0,317.7353668808,310.919994158,315.839,313.8532430754,24755012.0,1.0,0.0,MSFT,XNAS,2023-08-18
232,177.14,177.51,173.48,174.0,66062900.0,177.2771461637,173.2569224175,173.7711,176.9122160309,66062882.0,1.0,0.0,AAPL,XNAS,2023-08-17
233,320.54,321.87,316.21,316.88,21257160.0,321.2183005777,315.5697605421,316.2381,319.8909934669,21257161.0,1.0,0.0,MSFT,XNAS,2023-08-17
234,177.13,178.54,176.5,176.57,46964900.0,178.3104157737,176.2730390056,176.3377,176.9022288898,46964857.0,1.0,0.0,AAPL,XNAS,2023-08-16
235,320.8,324.42,319.8035,320.4,20698859.0,323.7631375196,319.1559846796,319.751,320.1504670374,20698864.0,1.0,0.68,MSFT,XNAS,2023-08-16
236,178.88,179.48,177.05,177.45,43622600.0,179.2492070296,176.8223317617,177.2165,178.6499785684,43622593.0,1.0,0.0,AAPL,XNAS,2023-08-15
237,323.0,325.09,320.9034,321.86,16966289.0,323.7446823745,319.5754077514,320.5294,321.6633314066,16966285.0,1.0,0.0,MSFT,XNAS,2023-08-15
238,177.97,179.69,177.31,179.46,43675600.0,179.458936991,177.0770038577,179.2239,177.7411487355,43675627.0,1.0,0.0,AAPL,XNAS,2023-08-14
239,321.39,324.06,320.08,324.04,18836141.0,322.7189448162,318.7554152218,322.7004,320.0599940581,18836139.0,1.0,0.0,MSFT,XNAS,2023-08-14
240,177.32,178.62,176.55,177.79,51988100.0,178.3903129018,176.3229747107,177.5561,177.0919845692,52036672.0,1.0,0.24,AAPL,XNAS,2023-08-11
241,320.26,322.41,319.21,321.01,24355490.0,321.0757729994,317.8890155365,319.6829,318.934670329,24355491.0,1.0,0.0,MSFT,XNAS,2023-08-11
242,179.48,180.75,177.6,177.97,54686900.0,180.274220472,177.1325120655,177.4962,179.0075634319,54686851.0,1.0,0.0,AAPL,XNAS,2023-08-10
243,326.015,328.26,321.18,322.93,20113730.0,326.9015639862,319.8508630996,321.595,324.6658544536,20113725.0,1.0,0.0,MSFT,XNAS,2023-08-10
244,180.87,180.93,177.01,178.19,60378500.0,180.4537466667,176.5440650941,177.7156,180.3939046018,60378492.0,1.0,0.0,AAPL,XNAS,2023-08-09
245,326.47,327.11,321.0499,322.23,22373270.0,325.756323023,319.7213014915,320.8979,325.1189715304,22373268.0,1.0,0.0,MSFT,XNAS,2023-08-09
246,179.69,180.27,177.58,179.8,67823000.0,179.795483953,177.1125647105,179.3213,179.217010659,67823003.0,1.0,0.0,AAPL,XNAS,2023-08-08
247,326.96,328.75,323.0,326.05,22327570.0,327.3895362227,321.6633314066,324.7021,325.6069437669,22327574.0,1.0,0.0,MSFT,XNAS,2023-08-08
248,182.13,183.13,177.35,178.85,97576100.0,182.6479557126,176.8831701285,178.3738,181.6505879644,97576069.0,1.0,0.0,AAPL,XNAS,2023-08-07
249,328.37,331.11,327.52,330.11,17741529.0,329.7397698515,326.1646263229,328.7453,327.011108774,17741526.0,1.0,0.0,MSFT,XNAS,2023-08-07
250,185.52,187.38,181.92,181.99,115799700.0,186.8867686421,181.4411407373,181.5055,185.0316646306,115956841.0,1.0,0.0,AAPL,XNAS,2023-08-04
